"area","Rtlower","Rtmedian","Rtupper","Cprojlower","Cprojmedian","Cprojupper"
"Portsmouth",0.492730836750376,0.80618999993415,1.27042987773352,0.0406197103898587,0.189446249619423,0.967695227143745
"Reading",0.549663678563685,0.829981870604131,1.22276956858625,0.141669732878238,0.537098489673548,2.18807102523605
"Redbridge",0.663665008373899,0.942379690900627,1.4253588578714,0.573104169319534,1.85550307688938,8.72280367867713
"Redcar and Cleveland",0.320996877332848,0.569060007921075,0.947022031893733,0.010803556685553,0.0583307542213796,0.33232262709049
"Richmond upon Thames",0.501598368101272,0.766304574104026,1.12026392275767,0.0717406631872193,0.266310892734899,0.998275237782465
"Rochdale",0.602329504305623,0.787611887025946,1.02488362824241,1.87871806865335,4.52063795802902,11.4548323128881
"Rotherham",0.650135583208013,0.85010029443923,1.14458936361023,2.52971085077321,6.15785153743916,17.9550357194881
"Rutland",0.445890378940233,0.695109536045663,1.05830606256399,0.022079935861026,0.0857792090164854,0.367113791277897
"Salford",0.549637230934613,0.777614994641454,1.0697788040366,0.377396710081498,1.15416427341829,3.57156156035755
"Sandwell",0.507248791692767,0.74065825654071,1.0105321230737,0.230834800362219,0.764460601496995,2.26072722780284
"Sefton",0.55836770393689,0.802430434947033,1.15131008866061,0.333636815861435,1.04698888547129,3.71281956915556
"Sheffield",0.720979551952487,0.929737081942588,1.23571768987519,6.45647377541669,15.3793896900878,43.8991539562183
"Shropshire",0.583144440477204,0.827523786194975,1.1440425502404,0.67241352563367,2.09997273302764,6.7035922485302
"Slough",0.546727696613322,0.7954568360584,1.12546044347365,0.316043958638557,1.03933761490637,3.5320144769592
"Solihull",0.498378174180604,0.736285272313357,1.02523552123745,0.133364671114396,0.45986799382581,1.47074282902995
"Somerset",0.484259168950253,0.768032025091952,1.16840353565366,0.142183153822636,0.60402165719648,2.68787722745763
"South Gloucestershire",0.494562317908763,0.796072316903335,1.24033980081424,0.0388009730992449,0.17156375603487,0.834414062487942
"South Tyneside",0.330032606183919,0.578795486163514,0.937838315660272,0.00679274141882445,0.035366692336874,0.182024846685621
"Southampton",0.550971105670921,0.857666170303402,1.33556572531835,0.184113439539492,0.749685969588177,3.70995831318674
"Southend-on-Sea",0.510691667052935,0.746472451089124,1.04246588003793,0.308308367006031,0.996347798430733,3.1329787750269
"Southwark",0.578740493640694,0.849132744688216,1.24914642719563,0.24030963653111,0.838819491086508,3.41977690825938
"St. Helens",0.551572041578301,0.806962701501978,1.14094194812733,0.182659612077969,0.629515020440966,2.19360083659096
"Staffordshire",0.70667484063093,0.903086823250478,1.19437029968626,3.1586760723393,7.24352341200327,20.0881308297845
"Stockport",0.578423877142879,0.799215800174962,1.11001239666753,0.549296938773753,1.56855800336502,5.0542908124977
"Stockton-on-Tees",0.398407057420058,0.614773342661464,0.921078102115374,0.125620512580138,0.456011992997776,1.76686790300378
"Stoke-on-Trent",0.549977025747903,0.764583904149347,1.02428636541774,0.704377828435976,1.9910251500607,5.46377235726264
"Suffolk",0.565781636894404,0.854185076930712,1.31381636807061,0.354601207629133,1.31349576389186,6.17768149717321
"Sunderland",0.329327450065004,0.567898211024874,0.895105365467431,0.00960304887908834,0.0481069509670315,0.225075234192515
"Surrey",0.686526907968433,0.910610612015315,1.23259600288362,1.81735968438469,4.68658749952911,14.1473703142459
"Sutton",0.46012792211249,0.72778730901175,1.05069745861004,0.0451589681738991,0.182414704182401,0.64377816586236
"Swindon",0.47119052417573,0.722405061243626,1.02437017407363,0.119875188100823,0.461784282647247,1.57872268250246
"Tameside",0.493988285830169,0.693822799102735,0.923025743528713,0.517100474215443,1.48341457806092,3.90784246540011
"Telford and Wrekin",0.530722713261439,0.796081017523928,1.14696006125846,0.164482871398944,0.590749404101822,2.1421001458643
"Thurrock",0.413706640630426,0.656052605437398,0.933088685856997,0.0577501416138949,0.234902612251042,0.782073228651072
"Torbay",0.452773599483833,0.768792057161344,1.32676782003432,0.0515998772977751,0.260890223546352,1.83590325420357
"Tower Hamlets",0.516980372170679,0.79053985337397,1.17532319235549,0.0860301250434482,0.330977833378663,1.36366506850844
"Trafford",0.561259367341976,0.802822847492741,1.1182325149785,0.304756802309111,0.956764859947447,3.08254564943838
"Wakefield",0.529053938391612,0.719298303414077,0.981757996519611,0.638002819058971,1.66523913630935,4.81898128094826
"Walsall",0.522076739852827,0.781062134533552,1.11878405723759,0.184035236566993,0.658206810779334,2.34039174096695
"Waltham Forest",0.611063069629064,0.88009096384753,1.29424363440285,0.367056693398715,1.24440810079171,5.22383941748997
"Wandsworth",0.475678995003538,0.740994793154685,1.05969890842402,0.0921182580943809,0.36454682754631,1.26765493968391
"Warrington",0.489364283429081,0.742094395565132,1.06121116472483,0.160916433912031,0.588820949281277,2.04653816396918
"Warwickshire",0.59671095059989,0.813785582337943,1.09157682623852,0.878224965750498,2.40778274546315,6.82095598775819
"West Berkshire",0.483009619007655,0.78737140608849,1.17948206350727,0.020111666262768,0.0945031525121247,0.403915964966961
"West Sussex",0.52560763427738,0.758083554200024,1.04787903144826,0.402362479315922,1.27613144336664,3.93909003061789
"Westminster",0.474344581388878,0.733650912701817,1.04929585754948,0.0735077691020367,0.289933251001678,1.02174584122682
"Wigan",0.492961310004199,0.73004929016579,1.02868962510603,0.113200424294692,0.400985947139309,1.36141919393502
"Wiltshire",0.541743871231223,0.82618826607831,1.22103032379834,0.196492653768331,0.736829390779207,2.92452681121368
"Windsor and Maidenhead",0.490824677679781,0.767211919090699,1.12137693659179,0.0241386329661664,0.101904785214413,0.401988480669369
"Wirral",0.351674132647992,0.563360979816938,0.839694224216483,0.0783047244134074,0.316457569697774,1.2016825728252
"Wokingham",0.524269949283714,0.806934476038352,1.19891104167184,0.083383898390339,0.325890602271985,1.33583361367846
"Wolverhampton",0.575640227332515,0.803029077090252,1.12298942648541,0.412537774548468,1.21972888909338,4.0536708034761
"Worcestershire",0.593062151619897,0.829282681824418,1.14684636081818,0.618197473231808,1.85191640431911,5.94144253120167
"York",0.404097774939534,0.633616516474943,0.990393047938325,0.0552051356604567,0.208678394430636,0.938264177487532
