NHS Region,Date,Median,Lower 95% CrI,Upper 95% CrI
Midlands,2020-09-26,1.31526939507835,1.13905929407066,1.5211828670892
Midlands,2020-09-25,1.31575649984917,1.13939211960216,1.52173435235743
Midlands,2020-09-24,1.31616940689752,1.1397161907449,1.52223865331083
Midlands,2020-09-23,1.31655672451417,1.14002860272507,1.52270198334554
Midlands,2020-09-22,1.31691510524635,1.14032331114056,1.52313252825764
Midlands,2020-09-21,1.3841339730797,1.14385423293547,1.60189042535879
Midlands,2020-09-20,1.38444319916831,1.14410016555263,1.60224728885259
Midlands,2020-09-19,1.38473017052228,1.14433877603364,1.60256907614982
Midlands,2020-09-18,1.38499629303941,1.14457068226472,1.60285897737894
Midlands,2020-09-17,1.38524293966802,1.14479591959309,1.60312004601329
Midlands,2020-09-16,1.38547187556491,1.14501174658139,1.60335578410313
Midlands,2020-09-15,1.38568536574738,1.14521241677567,1.60357018044621
Midlands,2020-09-14,1.44924657314375,1.23781103146119,1.66210117952314
Midlands,2020-09-13,1.44946284709103,1.2379981188027,1.66237970883513
Midlands,2020-09-12,1.44966125423423,1.23817627675755,1.66261104357659
Midlands,2020-09-11,1.44984289827102,1.23834601898048,1.66281644717899
Midlands,2020-09-10,1.45000894852521,1.2385077141174,1.66299842147843
Midlands,2020-09-09,1.45016184530473,1.23866078708308,1.66316138480006
Midlands,2020-09-08,1.45030562010921,1.23880355382125,1.66331214974122
Midlands,2020-09-07,1.36392338470458,1.14223086036561,1.58168019275937
Midlands,2020-09-06,1.3640029177505,1.14228538420929,1.58182983800087
Midlands,2020-09-05,1.36407728212224,1.14233836799858,1.5819651412467
Midlands,2020-09-04,1.36414681519841,1.14238989983463,1.58208726017795
Midlands,2020-09-03,1.36421182967599,1.14244000229509,1.58219738356264
Midlands,2020-09-02,1.36427257961165,1.14248840865668,1.5822975997399
Midlands,2020-09-01,1.36432925347847,1.14253453809959,1.58239106063592
Midlands,2020-08-31,1.36309336705505,1.15060601356877,1.61843301577906
Midlands,2020-08-30,1.36315570491477,1.15065209599256,1.61850253178461
Midlands,2020-08-29,1.3632139567958,1.15069681302665,1.61856484506078
